activity_a,activity_b,capacity_a,capacity_b,count,weighted
Chemistry Society,American Sign Language Club,<bound method EighthActivity.capacity of <EighthActivity: Chemistry Society>>,<bound method EighthActivity.capacity of <EighthActivity: American Sign Language Club>>,8,0.0941176470588235
Psych (AP)  makeup/tutoring,World History SOL Review (Yi),<bound method EighthActivity.capacity of <EighthActivity: Psych (AP)  makeup/tutoring>>,<bound method EighthActivity.capacity of <EighthActivity: World History SOL Review (Yi)>>,8,0.137931034482759
Band,Latin:,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Latin:>>,8,0.0776699029126214
Football,Band,<bound method EighthActivity.capacity of <EighthActivity: Football>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0761904761904762
Band,Choir,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Choir>>,8,0.0592592592592593
Physics Team,American Sign Language Club,<bound method EighthActivity.capacity of <EighthActivity: Physics Team>>,<bound method EighthActivity.capacity of <EighthActivity: American Sign Language Club>>,8,0.0615384615384615
Relay For Life,Magician's Alliance,<bound method EighthActivity.capacity of <EighthActivity: Relay For Life>>,<bound method EighthActivity.capacity of <EighthActivity: Magician's Alliance>>,8,0.133333333333333
Investigations in Epidemiology,Open Music Practice-Strings Only,<bound method EighthActivity.capacity of <EighthActivity: Investigations in Epidemiology>>,<bound method EighthActivity.capacity of <EighthActivity: Open Music Practice-Strings Only>>,8,0.166666666666667
Yoga,Investigations in Epidemiology,<bound method EighthActivity.capacity of <EighthActivity: Yoga>>,<bound method EighthActivity.capacity of <EighthActivity: Investigations in Epidemiology>>,8,0.137931034482759
Science and Law,Magician's Alliance,<bound method EighthActivity.capacity of <EighthActivity: Science and Law>>,<bound method EighthActivity.capacity of <EighthActivity: Magician's Alliance>>,8,0.150943396226415
Math Teams (V & JV),Math 3/4 (Hill),<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Math 3/4 (Hill)>>,8,0.0555555555555556
Investigations in Epidemiology,TJ Minds Matter,<bound method EighthActivity.capacity of <EighthActivity: Investigations in Epidemiology>>,<bound method EighthActivity.capacity of <EighthActivity: TJ Minds Matter>>,8,0.117647058823529
Investigations in Epidemiology,Latin: Certamen  (Lister),<bound method EighthActivity.capacity of <EighthActivity: Investigations in Epidemiology>>,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen  (Lister)>>,8,0.133333333333333
Lab 203: Burnett,Investment Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Investment Club>>,8,0.1
Investigations in Epidemiology,Young Democrats,<bound method EighthActivity.capacity of <EighthActivity: Investigations in Epidemiology>>,<bound method EighthActivity.capacity of <EighthActivity: Young Democrats>>,8,0.137931034482759
Chemistry Team,American Sign Language Club,<bound method EighthActivity.capacity of <EighthActivity: Chemistry Team>>,<bound method EighthActivity.capacity of <EighthActivity: American Sign Language Club>>,8,0.102564102564103
